,aposta,numero_sorteado,resultado
339,Cachorro,96,perda
340,Cachorro,87,perda
341,Cachorro,11,perda
342,Cachorro,25,perda
343,Cachorro,74,perda
344,Cachorro,51,perda
345,Cachorro,98,perda
346,Cachorro,81,perda
347,Cachorro,37,perda
348,Cachorro,87,perda
349,Cachorro,75,perda
350,Cachorro,23,perda
351,Cachorro,96,perda
352,Cachorro,51,perda
353,Cachorro,9,perda
354,Cachorro,88,perda
355,Cachorro,93,perda
356,Cachorro,36,perda
357,Cachorro,52,perda
358,Cachorro,35,perda
359,Cachorro,67,perda
360,Cachorro,21,perda
361,Cachorro,14,perda
362,Cachorro,25,perda
363,Cachorro,13,perda
364,Cachorro,60,perda
365,Cachorro,19,ganho
366,Cachorro,23,perda
367,Cachorro,25,perda
368,Cachorro,71,perda
369,Cachorro,26,perda
370,Cachorro,84,perda
371,Cachorro,73,perda
372,Cachorro,95,perda
373,Cachorro,82,perda
374,Cachorro,5,perda
375,Cachorro,93,perda
376,Cachorro,93,perda
377,Cachorro,99,perda
378,Cachorro,91,perda
379,Cachorro,59,perda
380,Cachorro,73,perda
381,Cachorro,26,perda
382,Cachorro,57,perda
383,Cachorro,54,perda
384,Cachorro,17,ganho
385,Cachorro,65,perda
386,Cachorro,31,perda
387,Cachorro,42,perda
388,Cachorro,0,perda
389,Cachorro,78,perda
390,Cachorro,2,perda
391,Cachorro,17,ganho
392,Cachorro,43,perda
393,Cachorro,59,perda
394,Cachorro,58,perda
395,Cachorro,51,perda
396,Cachorro,66,perda
397,Cachorro,38,perda
398,Cachorro,10,perda
399,Cachorro,7,perda
400,Cachorro,20,perda
401,Cachorro,8,perda
402,Cachorro,27,perda
403,Cachorro,88,perda
404,Cachorro,79,perda
405,Cachorro,12,perda
406,Cachorro,61,perda
407,Cachorro,63,perda
408,Cachorro,83,perda
409,Cachorro,27,perda
410,Cachorro,39,perda
411,Cachorro,2,perda
412,Cachorro,8,perda
413,Cachorro,74,perda
414,Cachorro,76,perda
415,Cachorro,70,perda
416,Cachorro,87,perda
417,Cachorro,68,perda
418,Cachorro,85,perda
419,Cachorro,33,perda
420,Cachorro,87,perda
421,Cachorro,68,perda
422,Cachorro,79,perda
423,Cachorro,4,perda
424,Cachorro,49,perda
425,Cachorro,45,perda
426,Cachorro,42,perda
427,Cachorro,15,perda
428,Cachorro,47,perda
429,Cachorro,70,perda
430,Cachorro,44,perda
431,Cachorro,67,perda
432,Cachorro,58,perda
433,Cachorro,92,perda
434,Cachorro,19,ganho
435,Cachorro,65,perda
436,Cachorro,97,perda
437,Cachorro,73,perda
438,Cachorro,9,perda
439,Cachorro,34,perda
440,Cachorro,7,perda
441,Cachorro,89,perda
442,Cachorro,4,perda
443,Cachorro,34,perda
444,Cachorro,67,perda
445,Cachorro,82,perda
446,Cachorro,2,perda
447,Cachorro,97,perda
448,Cachorro,27,perda
449,Cachorro,13,perda
450,Cachorro,16,ganho
451,Cachorro,6,perda
452,Cachorro,21,perda
453,Cachorro,10,perda
454,Cachorro,50,perda
455,Cachorro,20,perda
456,Cachorro,72,perda
457,Cachorro,66,perda
458,Cachorro,92,perda
459,Cachorro,67,perda
460,Cachorro,95,perda
461,Cachorro,51,perda
462,Cachorro,19,ganho
463,Cachorro,72,perda
464,Cachorro,18,ganho
465,Cachorro,41,perda
466,Cachorro,98,perda
467,Cachorro,70,perda
468,Cachorro,81,perda
469,Cachorro,94,perda
470,Cachorro,70,perda
471,Cachorro,27,perda
472,Cachorro,31,perda
473,Cachorro,9,perda
474,Cachorro,51,perda
475,Cachorro,41,perda
476,Cachorro,3,perda
477,Cachorro,90,perda
478,Cachorro,0,perda
479,Cachorro,75,perda
480,Cachorro,62,perda
481,Cachorro,98,perda
482,Cachorro,77,perda
483,Cachorro,83,perda
484,Cachorro,10,perda
485,Cachorro,79,perda
486,Cachorro,74,perda
487,Cachorro,20,perda
488,Cachorro,85,perda
489,Cachorro,30,perda
490,Cachorro,29,perda
491,Cachorro,68,perda
492,Cachorro,15,perda
493,Cachorro,73,perda
494,Cachorro,68,perda
495,Cachorro,21,perda
496,Cachorro,96,perda
497,Cachorro,45,perda
498,Cachorro,96,perda
499,Cachorro,94,perda
500,Cachorro,69,perda
501,Cachorro,7,perda
502,Cachorro,49,perda
503,Cachorro,26,perda
504,Cachorro,55,perda
505,Cachorro,65,perda
506,Cachorro,99,perda
507,Cachorro,25,perda
508,Cachorro,41,perda
509,Cachorro,76,perda
510,Cachorro,10,perda
511,Cachorro,36,perda
512,Cachorro,44,perda
513,Cachorro,26,perda
514,Cachorro,26,perda
515,Cachorro,78,perda
516,Cachorro,64,perda
517,Cachorro,78,perda
518,Cachorro,26,perda
519,Cachorro,66,perda
520,Cachorro,32,perda
521,Cachorro,73,perda
522,Cachorro,41,perda
523,Cachorro,85,perda
524,Cachorro,5,perda
525,Cachorro,94,perda
526,Cachorro,11,perda
527,Cachorro,89,perda
528,Cachorro,18,ganho
529,Cachorro,65,perda
530,Cachorro,38,perda
531,Cachorro,51,perda
532,Cachorro,55,perda
533,Cachorro,38,perda
534,Cachorro,54,perda
535,Cachorro,0,perda
536,Cachorro,48,perda
537,Cachorro,41,perda
538,Cachorro,39,perda
539,Cachorro,89,perda
540,Cachorro,92,perda
541,Cachorro,7,perda
542,Cachorro,72,perda
543,Cachorro,53,perda
544,Cachorro,11,perda
545,Cachorro,65,perda
546,Cachorro,36,perda
547,Cachorro,4,perda
548,Cachorro,36,perda
549,Cachorro,57,perda
550,Cachorro,48,perda
551,Cachorro,73,perda
552,Cachorro,4,perda
553,Cachorro,79,perda
554,Cachorro,97,perda
555,Cachorro,71,perda
556,Cachorro,74,perda
557,Cachorro,31,perda
558,Cachorro,99,perda
559,Cachorro,23,perda
560,Cachorro,79,perda
561,Cachorro,6,perda
562,Cachorro,44,perda
563,Cachorro,95,perda
564,Cachorro,71,perda
565,Cachorro,32,perda
566,Cachorro,80,perda
567,Cachorro,60,perda
568,Cachorro,66,perda
569,Cachorro,75,perda
570,Cachorro,85,perda
571,Cachorro,10,perda
572,Cachorro,4,perda
573,Cachorro,50,perda
574,Cachorro,25,perda
575,Cachorro,50,perda
576,Cachorro,83,perda
577,Cachorro,87,perda
578,Cachorro,21,perda
579,Cachorro,85,perda
580,Cachorro,69,perda
581,Cachorro,29,perda
582,Cachorro,63,perda
583,Cachorro,81,perda
584,Cachorro,3,perda
585,Cachorro,96,perda
586,Cachorro,86,perda
587,Cachorro,83,perda
588,Cachorro,1,perda
589,Cachorro,70,perda
590,Cachorro,25,perda
591,Cachorro,68,perda
592,Cachorro,13,perda
593,Cachorro,45,perda
594,Cachorro,30,perda
595,Cachorro,7,perda
596,Cachorro,50,perda
597,Cachorro,85,perda
598,Cachorro,77,perda
599,Cachorro,34,perda
600,Cachorro,47,perda
601,Cachorro,90,perda
602,Cachorro,74,perda
603,Cachorro,6,perda
604,Cachorro,1,perda
605,Cachorro,97,perda
606,Cachorro,93,perda
607,Cachorro,52,perda
608,Cachorro,35,perda
609,Cachorro,86,perda
610,Cachorro,48,perda
611,Cachorro,85,perda
612,Cachorro,82,perda
613,Cachorro,85,perda
614,Cachorro,71,perda
615,Cachorro,94,perda
616,Cachorro,79,perda
617,Cachorro,80,perda
618,Cachorro,4,perda
619,Cachorro,93,perda
620,Cachorro,74,perda
621,Cachorro,7,perda
622,Cachorro,61,perda
623,Cachorro,72,perda
624,Cachorro,76,perda
625,Cachorro,26,perda
626,Cachorro,65,perda
627,Cachorro,72,perda
628,Cachorro,98,perda
629,Cachorro,22,perda
630,Cachorro,18,ganho
631,Cachorro,21,perda
632,Cachorro,35,perda
633,Cachorro,94,perda
634,Cachorro,68,perda
635,Cachorro,39,perda
636,Cachorro,99,perda
637,Cachorro,37,perda
638,Cachorro,12,perda
639,Cachorro,7,perda
640,Cachorro,21,perda
641,Cachorro,56,perda
642,Cachorro,83,perda
643,Cachorro,33,perda
644,Cachorro,28,perda
645,Cachorro,64,perda
646,Cachorro,87,perda
647,Cachorro,35,perda
648,Cachorro,17,ganho
649,Cachorro,66,perda
650,Cachorro,42,perda
651,Cachorro,23,perda
652,Cachorro,76,perda
653,Cachorro,36,perda
654,Cachorro,58,perda
655,Cachorro,19,ganho
656,Cachorro,62,perda
657,Cachorro,4,perda
658,Cachorro,76,perda
659,Cachorro,78,perda
660,Cachorro,90,perda
661,Cachorro,95,perda
662,Cachorro,28,perda
663,Cachorro,52,perda
664,Cachorro,88,perda
665,Cachorro,91,perda
666,Cachorro,91,perda
667,Cachorro,78,perda
668,Cachorro,84,perda
669,Cachorro,44,perda
670,Cachorro,5,perda
671,Cachorro,59,perda
672,Cachorro,57,perda
673,Cachorro,33,perda
674,Cachorro,59,perda
675,Cachorro,44,perda
676,Cachorro,21,perda
677,Cachorro,1,perda
678,Cachorro,59,perda
679,Cachorro,5,perda
680,Cachorro,68,perda
681,Cachorro,94,perda
682,Cachorro,64,perda
683,Cachorro,64,perda
684,Cachorro,50,perda
685,Cachorro,88,perda
686,Cachorro,71,perda
687,Cachorro,64,perda
688,Cachorro,52,perda
689,Cachorro,29,perda
690,Cachorro,83,perda
691,Cachorro,33,perda
692,Cachorro,76,perda
693,Cachorro,67,perda
694,Cachorro,95,perda
695,Cachorro,17,ganho
696,Cachorro,78,perda
697,Cachorro,74,perda
698,Cachorro,9,perda
699,Cachorro,61,perda
700,Cachorro,61,perda
701,Cachorro,72,perda
702,Cachorro,30,perda
703,Cachorro,47,perda
704,Cachorro,19,ganho
705,Cachorro,65,perda
706,Cachorro,35,perda
707,Cachorro,76,perda
708,Cachorro,71,perda
709,Cachorro,86,perda
710,Cachorro,31,perda
711,Cachorro,16,ganho
712,Cachorro,84,perda
713,Cachorro,19,ganho
714,Cachorro,53,perda
715,Cachorro,90,perda
716,Cachorro,59,perda
717,Cachorro,12,perda
718,Cachorro,63,perda
719,Cachorro,39,perda
720,Cachorro,10,perda
721,Cachorro,72,perda
722,Cachorro,71,perda
723,Cachorro,51,perda
724,Cachorro,33,perda
725,Cachorro,4,perda
726,Cachorro,52,perda
727,Cachorro,14,perda
728,Cachorro,14,perda
729,Cachorro,20,perda
730,Cachorro,61,perda
731,Cachorro,0,perda
732,Cachorro,29,perda
733,Cachorro,24,perda
734,Cachorro,9,perda
735,Cachorro,99,perda
736,Cachorro,24,perda
737,Cachorro,9,perda
738,Cachorro,5,perda
739,Cachorro,69,perda
740,Cachorro,4,perda
741,Cachorro,18,ganho
742,Cachorro,82,perda
743,Cachorro,74,perda
744,Cachorro,91,perda
745,Cachorro,43,perda
746,Cachorro,21,perda
747,Cachorro,33,perda
748,Cachorro,17,ganho
749,Cachorro,54,perda
750,Cachorro,36,perda
751,Cachorro,74,perda
752,Cachorro,64,perda
753,Cachorro,56,perda
754,Cachorro,44,perda
755,Cachorro,99,perda
756,Cachorro,76,perda
757,Cachorro,36,perda
758,Cachorro,67,perda
759,Cachorro,11,perda
760,Cachorro,2,perda
761,Cachorro,11,perda
762,Cachorro,32,perda
763,Cachorro,40,perda
764,Cachorro,20,perda
765,Cachorro,94,perda
766,Cachorro,91,perda
767,Cachorro,24,perda
768,Cachorro,86,perda
769,Cachorro,50,perda
770,Cachorro,53,perda
771,Cachorro,4,perda
772,Cachorro,99,perda
773,Cachorro,31,perda
774,Cachorro,6,perda
775,Cachorro,81,perda
776,Cachorro,64,perda
777,Cachorro,70,perda
778,Cachorro,97,perda
779,Cachorro,38,perda
780,Cachorro,71,perda
781,Cachorro,40,perda
782,Cachorro,8,perda
783,Cachorro,94,perda
784,Cachorro,3,perda
785,Cachorro,25,perda
786,Cachorro,50,perda
787,Cachorro,59,perda
788,Cachorro,26,perda
789,Cachorro,59,perda
790,Cachorro,26,perda
791,Cachorro,91,perda
792,Cachorro,56,perda
793,Cachorro,75,perda
794,Cachorro,76,perda
795,Cachorro,27,perda
796,Cachorro,54,perda
797,Cachorro,92,perda
798,Cachorro,99,perda
799,Cachorro,37,perda
800,Cachorro,54,perda
801,Cachorro,45,perda
802,Cachorro,49,perda
803,Cachorro,25,perda
804,Cachorro,86,perda
805,Cachorro,28,perda
806,Cachorro,95,perda
807,Cachorro,62,perda
808,Cachorro,63,perda
809,Cachorro,42,perda
810,Cachorro,83,perda
811,Cachorro,65,perda
812,Cachorro,52,perda
813,Cachorro,98,perda
814,Cachorro,5,perda
815,Cachorro,77,perda
816,Cachorro,26,perda
817,Cachorro,94,perda
818,Cachorro,38,perda
819,Cachorro,54,perda
820,Cachorro,55,perda
821,Cachorro,48,perda
822,Cachorro,68,perda
823,Cachorro,11,perda
824,Cachorro,72,perda
825,Cachorro,19,ganho
826,Cachorro,9,perda
827,Cachorro,31,perda
828,Cachorro,54,perda
829,Cachorro,16,ganho
830,Cachorro,86,perda
831,Cachorro,86,perda
832,Cachorro,28,perda
833,Cachorro,85,perda
834,Cachorro,54,perda
835,Cachorro,51,perda
836,Cachorro,83,perda
837,Cachorro,38,perda
838,Cachorro,85,perda
839,Cachorro,16,ganho
840,Cachorro,65,perda
841,Cachorro,66,perda
842,Cachorro,81,perda
843,Cachorro,95,perda
844,Cachorro,27,perda
845,Cachorro,2,perda
846,Cachorro,2,perda
847,Cachorro,14,perda
848,Cachorro,93,perda
849,Cachorro,14,perda
850,Cachorro,2,perda
851,Cachorro,34,perda
852,Cachorro,17,ganho
853,Cachorro,87,perda
854,Cachorro,97,perda
855,Cachorro,75,perda
856,Cachorro,56,perda
857,Cachorro,71,perda
858,Cachorro,75,perda
859,Cachorro,65,perda
860,Cachorro,87,perda
861,Cachorro,72,perda
862,Cachorro,55,perda
863,Cachorro,46,perda
864,Cachorro,93,perda
865,Cachorro,83,perda
866,Cachorro,53,perda
867,Cachorro,19,ganho
868,Cachorro,64,perda
869,Cachorro,9,perda
870,Cachorro,92,perda
871,Cachorro,99,perda
872,Cachorro,6,perda
873,Cachorro,35,perda
874,Cachorro,99,perda
875,Cachorro,70,perda
876,Cachorro,13,perda
877,Cachorro,89,perda
878,Cachorro,89,perda
879,Cachorro,17,ganho
880,Cachorro,86,perda
881,Cachorro,77,perda
882,Cachorro,46,perda
883,Cachorro,72,perda
884,Cachorro,1,perda
885,Cachorro,53,perda
886,Cachorro,40,perda
887,Cachorro,0,perda
888,Cachorro,95,perda
889,Cachorro,47,perda
890,Cachorro,0,perda
891,Cachorro,95,perda
892,Cachorro,94,perda
893,Cachorro,94,perda
894,Cachorro,63,perda
895,Cachorro,82,perda
896,Cachorro,98,perda
897,Cachorro,46,perda
898,Cachorro,23,perda
899,Cachorro,94,perda
900,Cachorro,61,perda
901,Cachorro,41,perda
902,Cachorro,13,perda
903,Cachorro,46,perda
904,Cachorro,45,perda
905,Cachorro,23,perda
906,Cachorro,80,perda
907,Cachorro,59,perda
908,Cachorro,65,perda
909,Cachorro,7,perda
910,Cachorro,50,perda
911,Cachorro,36,perda
912,Cachorro,29,perda
913,Cachorro,50,perda
914,Cachorro,71,perda
915,Cachorro,56,perda
916,Cachorro,38,perda
917,Cachorro,51,perda
918,Cachorro,38,perda
919,Cachorro,33,perda
920,Cachorro,80,perda
921,Cachorro,22,perda
922,Cachorro,42,perda
923,Cachorro,56,perda
924,Cachorro,73,perda
925,Cachorro,39,perda
926,Cachorro,54,perda
927,Cachorro,28,perda
928,Cachorro,73,perda
929,Cachorro,81,perda
930,Cachorro,66,perda
931,Cachorro,41,perda
932,Cachorro,31,perda
933,Cachorro,50,perda
934,Cachorro,92,perda
935,Cachorro,79,perda
936,Cachorro,61,perda
937,Cachorro,42,perda
938,Cachorro,84,perda
939,Cachorro,88,perda
940,Cachorro,10,perda
941,Cachorro,36,perda
942,Cachorro,85,perda
943,Cachorro,12,perda
944,Cachorro,16,ganho
945,Cachorro,51,perda
946,Cachorro,48,perda
947,Cachorro,54,perda
948,Cachorro,27,perda
949,Cachorro,80,perda
950,Cachorro,9,perda
951,Cachorro,46,perda
952,Cachorro,95,perda
953,Cachorro,90,perda
954,Cachorro,53,perda
955,Cachorro,90,perda
956,Cachorro,23,perda
957,Cachorro,43,perda
958,Cachorro,94,perda
959,Cachorro,18,ganho
960,Cachorro,90,perda
961,Cachorro,38,perda
962,Cachorro,5,perda
963,Cachorro,52,perda
964,Cachorro,29,perda
965,Cachorro,7,perda
966,Cachorro,52,perda
967,Cachorro,90,perda
968,Cachorro,89,perda
969,Cachorro,65,perda
970,Cachorro,80,perda
971,Cachorro,70,perda
972,Cachorro,30,perda
973,Cachorro,9,perda
974,Cachorro,93,perda
975,Cachorro,30,perda
976,Cachorro,18,ganho
977,Cachorro,70,perda
978,Cachorro,53,perda
979,Cachorro,58,perda
980,Cachorro,59,perda
981,Cachorro,22,perda
982,Cachorro,78,perda
983,Cachorro,97,perda
984,Cachorro,79,perda
985,Cachorro,14,perda
986,Cachorro,33,perda
987,Cachorro,85,perda
988,Cachorro,85,perda
989,Cachorro,35,perda
990,Cachorro,20,perda
991,Cachorro,92,perda
992,Cachorro,16,ganho
993,Cachorro,68,perda
994,Cachorro,83,perda
995,Cachorro,13,perda
996,Cachorro,41,perda
997,Cachorro,43,perda
998,Cachorro,68,perda
999,Cachorro,89,perda
1000,Cachorro,37,perda
1001,Cachorro,64,perda
1002,Cachorro,51,perda
1003,Cachorro,0,perda
1004,Cachorro,53,perda
1005,Cachorro,94,perda
1006,Cachorro,16,ganho
1007,Cachorro,26,perda
1008,Cachorro,97,perda
1009,Cachorro,56,perda
1010,Cachorro,40,perda
1011,Cachorro,63,perda
1012,Cachorro,32,perda
1013,Cachorro,89,perda
1014,Cachorro,10,perda
1015,Cachorro,11,perda
1016,Cachorro,36,perda
1017,Cachorro,57,perda
1018,Cachorro,89,perda
1019,Cachorro,91,perda
1020,Cachorro,11,perda
1021,Cachorro,87,perda
1022,Cachorro,60,perda
1023,Cachorro,74,perda
1024,Cachorro,60,perda
1025,Cachorro,59,perda
1026,Cachorro,65,perda
1027,Cachorro,79,perda
1028,Cachorro,41,perda
1029,Cachorro,52,perda
1030,Cachorro,14,perda
1031,Cachorro,37,perda
1032,Cachorro,51,perda
1033,Cachorro,39,perda
1034,Cachorro,47,perda
1035,Cachorro,39,perda
1036,Cachorro,98,perda
1037,Cachorro,69,perda
1038,Cachorro,25,perda
1039,Cachorro,79,perda
1040,Cachorro,61,perda
1041,Cachorro,29,perda
1042,Cachorro,9,perda
1043,Cachorro,4,perda
1044,Cachorro,84,perda
1045,Cachorro,77,perda
1046,Cachorro,82,perda
1047,Cachorro,58,perda
1048,Cachorro,27,perda
1049,Cachorro,87,perda
1050,Cachorro,29,perda
1051,Cachorro,54,perda
1052,Cachorro,45,perda
1053,Cachorro,0,perda
1054,Cachorro,21,perda
1055,Cachorro,20,perda
1056,Cachorro,3,perda
1057,Cachorro,94,perda
1058,Cachorro,24,perda
1059,Cachorro,48,perda
1060,Cachorro,27,perda
1061,Cachorro,80,perda
1062,Cachorro,71,perda
1063,Cachorro,45,perda
1064,Cachorro,66,perda
1065,Cachorro,78,perda
